date,nhs_name,sgtf,other,perc,t,n
2020-11-22,North East and Yorkshire,42,1307,0.031134173461823574,53,1349
2020-11-22,North West,16,988,0.01593625498007968,53,1004
2020-11-22,South East,251,456,0.355021216407355,53,707
2020-11-22,South West,13,143,0.08333333333333333,53,156
2020-11-23,East of England,144,315,0.3137254901960784,54,459
2020-11-23,London,336,852,0.2828282828282828,54,1188
2020-11-23,Midlands,87,2381,0.03525121555915721,54,2468
2020-11-23,North East and Yorkshire,68,1914,0.034308779011099896,54,1982
2020-11-23,North West,29,1445,0.01967435549525102,54,1474
2020-11-23,South East,472,536,0.46825396825396826,54,1008
2020-11-23,South West,31,280,0.09967845659163987,54,311
2020-11-24,East of England,111,277,0.2860824742268041,55,388
2020-11-24,London,320,767,0.29438822447102114,55,1087
2020-11-24,Midlands,70,2017,0.033540967896502155,55,2087
2020-11-24,North East and Yorkshire,56,1547,0.034934497816593885,55,1603
2020-11-24,North West,24,1197,0.019656019656019656,55,1221
2020-11-24,South East,319,401,0.44305555555555554,55,720
2020-11-24,South West,16,183,0.08040201005025126,55,199
2020-11-25,East of England,130,324,0.28634361233480177,56,454
2020-11-25,London,402,723,0.35733333333333334,56,1125
2020-11-25,Midlands,88,2025,0.0416469474680549,56,2113
2020-11-25,North East and Yorkshire,60,1584,0.0364963503649635,56,1644
2020-11-25,North West,37,1188,0.030204081632653063,56,1225
2020-11-25,South East,420,413,0.5042016806722689,56,833
2020-11-25,South West,23,185,0.11057692307692307,56,208
2020-11-26,East of England,157,325,0.3257261410788382,57,482
2020-11-26,London,385,608,0.3877139979859013,57,993
2020-11-26,Midlands,88,1746,0.04798255179934569,57,1834
2020-11-26,North East and Yorkshire,48,1371,0.03382663847780127,57,1419
2020-11-26,North West,17,991,0.016865079365079364,57,1008
2020-11-26,South East,384,391,0.49548387096774194,57,775
2020-11-26,South West,28,202,0.12173913043478261,57,230
2020-11-27,East of England,146,317,0.31533477321814257,58,463
2020-11-27,London,462,656,0.41323792486583183,58,1118
2020-11-27,Midlands,54,1570,0.0332512315270936,58,1624
2020-11-27,North East and Yorkshire,72,1223,0.055598455598455596,58,1295
2020-11-27,North West,26,917,0.027571580063626724,58,943
2020-11-27,South East,515,443,0.5375782881002088,58,958
2020-11-27,South West,15,197,0.07075471698113207,58,212
2020-11-28,East of England,81,178,0.3127413127413127,59,259
2020-11-28,London,342,530,0.3922018348623853,59,872
2020-11-28,Midlands,77,1249,0.058069381598793365,59,1326
2020-11-28,North East and Yorkshire,47,973,0.04607843137254902,59,1020
2020-11-28,North West,17,777,0.021410579345088162,59,794
2020-11-28,South East,385,324,0.5430183356840621,59,709
2020-11-28,South West,23,117,0.16428571428571428,59,140
2020-11-29,East of England,116,173,0.4013840830449827,60,289
2020-11-29,London,351,528,0.3993174061433447,60,879
2020-11-29,Midlands,62,1189,0.0495603517186251,60,1251
2020-11-29,North East and Yorkshire,34,973,0.033763654419066536,60,1007
2020-11-29,North West,22,660,0.03225806451612903,60,682
2020-11-29,South East,432,262,0.622478386167147,60,694
2020-11-29,South West,18,129,0.12244897959183673,60,147
2020-11-30,East of England,270,389,0.40971168437025796,61,659
2020-11-30,London,621,807,0.43487394957983194,61,1428
2020-11-30,Midlands,121,1833,0.06192425793244626,61,1954
2020-11-30,North East and Yorkshire,74,1525,0.046278924327704814,61,1599
2020-11-30,North West,24,1183,0.01988400994200497,61,1207
2020-11-30,South East,650,403,0.6172839506172839,61,1053
2020-11-30,South West,28,181,0.1339712918660287,61,209
2020-12-01,East of England,249,375,0.39903846153846156,62,624
2020-12-01,London,650,679,0.4890895410082769,62,1329
2020-12-01,Midlands,136,1612,0.07780320366132723,62,1748
2020-12-01,North East and Yorkshire,69,1275,0.05133928571428571,62,1344
2020-12-01,North West,28,1000,0.027237354085603113,62,1028
2020-12-01,South East,568,452,0.5568627450980392,62,1020
2020-12-01,South West,25,155,0.1388888888888889,62,180
2020-12-02,East of England,280,337,0.4538087520259319,63,617
2020-12-02,London,701,732,0.4891835310537334,63,1433
2020-12-02,Midlands,152,1522,0.0908004778972521,63,1674
2020-12-02,North East and Yorkshire,86,1210,0.06635802469135803,63,1296
2020-12-02,North West,37,887,0.04004329004329004,63,924
2020-12-02,South East,659,442,0.5985467756584922,63,1101
2020-12-02,South West,18,129,0.12244897959183673,63,147
2020-12-03,East of England,267,324,0.4517766497461929,64,591
2020-12-03,London,624,604,0.50814332247557,64,1228
2020-12-03,Midlands,128,1476,0.0798004987531172,64,1604
2020-12-03,North East and Yorkshire,72,1036,0.06498194945848375,64,1108
2020-12-03,North West,31,829,0.03604651162790698,64,860
2020-12-03,South East,657,385,0.6305182341650671,64,1042
2020-12-03,South West,25,150,0.14285714285714285,64,175
2020-12-04,East of England,252,252,0.5,65,504
2020-12-04,London,536,448,0.5447154471544715,65,984
2020-12-04,Midlands,135,1426,0.08648302370275464,65,1561
2020-12-04,North East and Yorkshire,81,814,0.09050279329608939,65,895
2020-12-04,North West,40,810,0.047058823529411764,65,850
2020-12-04,South East,626,405,0.6071774975751697,65,1031
2020-12-04,South West,32,172,0.1568627450980392,65,204
2020-12-05,East of England,354,281,0.5574803149606299,66,635
2020-12-05,London,790,617,0.5614783226723525,66,1407
2020-12-05,Midlands,136,1248,0.09826589595375723,66,1384
2020-12-05,North East and Yorkshire,51,701,0.0678191489361702,66,752
2020-12-05,North West,43,650,0.06204906204906205,66,693
2020-12-05,South East,791,357,0.6890243902439024,66,1148
2020-12-05,South West,29,114,0.20279720279720279,66,143
2020-12-06,East of England,446,322,0.5807291666666666,67,768
2020-12-06,London,907,710,0.5609152752009895,67,1617
2020-12-06,Midlands,160,1314,0.10854816824966079,67,1474
2020-12-06,North East and Yorkshire,80,712,0.10101010101010101,67,792
2020-12-06,North West,36,734,0.046753246753246755,67,770
2020-12-06,South East,861,382,0.6926790024135157,67,1243
2020-12-06,South West,33,116,0.2214765100671141,67,149
2020-12-07,East of England,665,351,0.6545275590551181,68,1016
2020-12-07,London,1315,871,0.601555352241537,68,2186
2020-12-07,Midlands,251,1814,0.1215496368038741,68,2065
2020-12-07,North East and Yorkshire,125,1175,0.09615384615384616,68,1300
2020-12-07,North West,77,1037,0.06912028725314183,68,1114
2020-12-07,South East,1340,563,0.7041513399894903,68,1903
2020-12-07,South West,69,201,0.25555555555555554,68,270
